Hour;15;16;17;18;19;20;21
UC_01 Int;4642,431373;5084,294672;5375,499004;5381,247784;5071,696648;4746,975309;4449,430065
UC_02 Int;3818,851096;4125,382067;4318,152907;4336,11468;4119,252743;3891,373516;3692,566367
UC_03 Int;2815,741312;2953,024678;3156,62542;3243,047704;3234,740636;3127,108753;3018,08879
UC_04 Int;3701,749973;3874,222126;3866,944264;3704,10419;3519,743667;3353,734274;3226,216967
Total;14978,77375;16036,92354;16717,22159;16664,51436;15945,43369;15119,19185;14386,30219
Profile Compare;88,98%;95,26%;99,30%;98,99%;94,72%;89,81%;85,46%
