Hour;15;16;17;18;19;20;21;
UC_01 Int;4642,43137296034;5084,29467214894;5375,49900375876;5381,24778429912;5071,6966481696;4746,9753088141;4449,43006540689;
UC_02 Int;3818,8510960903;4125,38206700415;4318,1529067148;4336,11467990251;4119,25274289516;3891,37351551379;3692,5663674;
UC_03 Int;2815,74131164991;2953,02467769553;3156,62542042284;3243,04770382965;3234,74063558203;3127,10875341584;3018,08878958404;
UC_04 Int;3701,74997259524;3874,22212613256;3866,94426378244;3704,10419046834;3519,74366722088;3353,73427401333;3226,21696717496;
Total;14978,7737532958;16036,9235429812;16717,2215946788;16664,5143584996;15945,4336938677;15119,1918517571;14386,3021895659;
Profile Compare;88,98%;95,26%;99,3%;98,99%;94,72%;89,81%;85,46%;
